depth_cm,year,site,sugar,picogram_per_mL,bar_order
0,2016,4,Galactosan,3643.984956,2
0,2016,4,Mannosan,185.978212,1
0,2016,4,Levoglucosan,2042.967498,3
10,2016,4,Galactosan,5102,2
10,2016,4,Mannosan,247.422088,1
10,2016,4,Levoglucosan,3448.288329,3
20,2016,4,Galactosan,1737.561236,2
20,2016,4,Mannosan,0,1
20,2016,4,Levoglucosan,5642.333917,3
30,2016,4,Galactosan,2991.032458,2
30,2016,4,Mannosan,0,1
30,2016,4,Levoglucosan,2367.054347,3
40,2016,4,Galactosan,2871.645244,2
40,2016,4,Mannosan,0,1
40,2016,4,Levoglucosan,1582.720703,3
50,2016,4,Galactosan,2730.745343,2
50,2016,4,Mannosan,136.571233,1
50,2016,4,Levoglucosan,773.704765,3
60,2016,4,Galactosan,2627.17476,2
60,2016,4,Mannosan,0,1
60,2016,4,Levoglucosan,996.891497,3
70,2016,4,Galactosan,2865.455356,2
70,2016,4,Mannosan,0,1
70,2016,4,Levoglucosan,658.519352,3
80,2016,4,Galactosan,3408.246862,2
80,2016,4,Mannosan,81.462962,1
80,2016,4,Levoglucosan,155.133022,3
90,2016,4,Galactosan,3116.492189,2
90,2016,4,Mannosan,111.251638,1
90,2016,4,Levoglucosan,10.693513,3
100,2016,4,Galactosan,2991.0887,2
100,2016,4,Mannosan,100.761708,1
100,2016,4,Levoglucosan,0,3
110,2016,4,Galactosan,3374.025934,2
110,2016,4,Mannosan,107.261632,1
110,2016,4,Levoglucosan,95.195389,3
120,2016,4,Galactosan,3688.314687,2
120,2016,4,Mannosan,211.881431,1
120,2016,4,Levoglucosan,538.710328,3
130,2016,4,Galactosan,2811.085927,2
130,2016,4,Mannosan,95.351955,1
130,2016,4,Levoglucosan,0,3
140,2016,4,Galactosan,3571.721265,2
140,2016,4,Mannosan,133.847472,1
140,2016,4,Levoglucosan,261.518971,3
150,2016,4,Galactosan,3421.617482,2
150,2016,4,Mannosan,160.806579,1
150,2016,4,Levoglucosan,521.30196,3
160,2016,4,Galactosan,3137.909706,2
160,2016,4,Mannosan,160.788247,1
160,2016,4,Levoglucosan,321.265122,3
170,2016,4,Galactosan,3477.895882,2
170,2016,4,Mannosan,124.781049,1
170,2016,4,Levoglucosan,234.10092,3
180,2016,4,Galactosan,1012.444408,2
180,2016,4,Mannosan,151.58182300000001,1
180,2016,4,Levoglucosan,0,3
190,2016,4,Galactosan,2659.173538,2
190,2016,4,Mannosan,0,1
190,2016,4,Levoglucosan,1691.89831,3
200,2016,4,Galactosan,2231.051983,2
200,2016,4,Mannosan,0,1
200,2016,4,Levoglucosan,0,3
210,2016,4,Galactosan,2481.934291,2
210,2016,4,Mannosan,136.836857,1
210,2016,4,Levoglucosan,343.812371,3
220,2016,4,Galactosan,1467.559389,2
220,2016,4,Mannosan,0,1
220,2016,4,Levoglucosan,0,3
230,2016,4,Galactosan,1427.884253,2
230,2016,4,Mannosan,110.447276,1
230,2016,4,Levoglucosan,0,3
240,2016,4,Galactosan,2004.229731,2
240,2016,4,Mannosan,126.648323,1
240,2016,4,Levoglucosan,987.067253,3
250,2016,4,Galactosan,2067.988772,2
250,2016,4,Mannosan,83.723246,1
250,2016,4,Levoglucosan,103.951064,3
260,2016,4,Galactosan,2225.619045,2
260,2016,4,Mannosan,242.512425,1
260,2016,4,Levoglucosan,903.340161,3
270,2016,4,Galactosan,4323.727311,2
270,2016,4,Mannosan,148.66512,1
270,2016,4,Levoglucosan,680.832755,3
280,2016,4,Galactosan,3682.363141,2
280,2016,4,Mannosan,119.495076,1
280,2016,4,Levoglucosan,247.695565,3
290,2016,4,Galactosan,2886.313206,2
290,2016,4,Mannosan,258.930697,1
290,2016,4,Levoglucosan,742.057646,3
300,2016,4,Galactosan,3318.702077,2
300,2016,4,Mannosan,95.642088,1
300,2016,4,Levoglucosan,129.620377,3
310,2016,4,Galactosan,2764.149683,2
310,2016,4,Mannosan,202.026449,1
310,2016,4,Levoglucosan,779.530644,3
320,2016,4,Galactosan,2414.362583,2
320,2016,4,Mannosan,71.433579,1
320,2016,4,Levoglucosan,0,3
330,2016,4,Galactosan,2989.97542,2
330,2016,4,Mannosan,97.213046,1
330,2016,4,Levoglucosan,201.994761,3
340,2016,4,Galactosan,2395.086979,2
340,2016,4,Mannosan,137.177685,1
340,2016,4,Levoglucosan,377.738894,3
350,2016,4,Galactosan,2339.550409,2
350,2016,4,Mannosan,395.783122,1
350,2016,4,Levoglucosan,2804.271063,3
360,2016,4,Galactosan,1592.305095,2
360,2016,4,Mannosan,102.812035,1
360,2016,4,Levoglucosan,0,3
370,2016,4,Galactosan,1561.387196,2
370,2016,4,Mannosan,100.472778,1
370,2016,4,Levoglucosan,121.453682,3
380,2016,4,Galactosan,1563.567654,2
380,2016,4,Mannosan,88.922003,1
380,2016,4,Levoglucosan,0,3
390,2016,4,Galactosan,1716.599625,2
390,2016,4,Mannosan,99.838145,1
390,2016,4,Levoglucosan,38.634203,3
400,2016,4,Galactosan,0,2
400,2016,4,Mannosan,0,1
400,2016,4,Levoglucosan,0,3
410,2016,4,Galactosan,931.774896,2
410,2016,4,Mannosan,0,1
410,2016,4,Levoglucosan,7677.887747,3
420,2016,4,Galactosan,1090.18807,2
420,2016,4,Mannosan,298.112026,1
420,2016,4,Levoglucosan,3347.288072,3
430,2016,4,Galactosan,1433.191138,2
430,2016,4,Mannosan,332.975075,1
430,2016,4,Levoglucosan,2574.901058,3
440,2016,4,Galactosan,0,2
440,2016,4,Mannosan,258.658472,1
440,2016,4,Levoglucosan,1882.701794,3
450,2016,4,Galactosan,1255.103989,2
450,2016,4,Mannosan,227.897359,1
450,2016,4,Levoglucosan,1650.558476,3
460,2016,4,Galactosan,2473.151048,2
460,2016,4,Mannosan,259.486322,1
460,2016,4,Levoglucosan,1713.806583,3
470,2016,4,Galactosan,2258.413574,2
470,2016,4,Mannosan,204.550455,1
470,2016,4,Levoglucosan,1263.043955,3
480,2016,4,Galactosan,1516.314454,2
480,2016,4,Mannosan,211.372062,1
480,2016,4,Levoglucosan,1109.789235,3
490,2016,4,Galactosan,1546.450865,2
490,2016,4,Mannosan,198.339566,1
490,2016,4,Levoglucosan,1323.657376,3
500,2016,4,Galactosan,1495.139773,2
500,2016,4,Mannosan,240.812928,1
500,2016,4,Levoglucosan,1508.983267,3
510,2016,4,Galactosan,1403.695931,2
510,2016,4,Mannosan,157.970099,1
510,2016,4,Levoglucosan,504.433932,3
520,2016,4,Galactosan,2269.254272,2
520,2016,4,Mannosan,130.520594,1
520,2016,4,Levoglucosan,179.34015,3
530,2016,4,Galactosan,2395.428393,2
530,2016,4,Mannosan,127.497076,1
530,2016,4,Levoglucosan,341.855478,3
540,2016,4,Galactosan,1474.125533,2
540,2016,4,Mannosan,134.582946,1
540,2016,4,Levoglucosan,1125.842934,3
550,2016,4,Galactosan,869.267239,2
550,2016,4,Mannosan,121.29928,1
550,2016,4,Levoglucosan,372.414492,3
560,2016,4,Galactosan,1087.025224,2
560,2016,4,Mannosan,523.899157,1
560,2016,4,Levoglucosan,1148.766409,3
570,2016,4,Galactosan,1416.989371,2
570,2016,4,Mannosan,129.76595,1
570,2016,4,Levoglucosan,420.878992,3
580,2016,4,Galactosan,1695.694148,2
580,2016,4,Mannosan,102.702087,1
580,2016,4,Levoglucosan,149.255382,3
590,2016,4,Galactosan,1903.530017,2
590,2016,4,Mannosan,149.314544,1
590,2016,4,Levoglucosan,0,3
600,2016,4,Galactosan,1148.072695,2
600,2016,4,Mannosan,0,1
600,2016,4,Levoglucosan,2288.673536,3
610,2016,4,Galactosan,0,2
610,2016,4,Mannosan,178.257779,1
610,2016,4,Levoglucosan,450.604782,3
620,2016,4,Galactosan,1440.308911,2
620,2016,4,Mannosan,96.453616,1
620,2016,4,Levoglucosan,62.502273,3
630,2016,4,Galactosan,0,2
630,2016,4,Mannosan,92.113134,1
630,2016,4,Levoglucosan,267.27264,3
640,2016,4,Galactosan,1381.677762,2
640,2016,4,Mannosan,0,1
640,2016,4,Levoglucosan,436.403547,3
650,2016,4,Galactosan,2166.593594,2
650,2016,4,Mannosan,88.257043,1
650,2016,4,Levoglucosan,97.014767,3
660,2016,4,Galactosan,1751.513998,2
660,2016,4,Mannosan,106.365504,1
660,2016,4,Levoglucosan,283.098194,3
670,2016,4,Galactosan,1718.383503,2
670,2016,4,Mannosan,101.918201,1
670,2016,4,Levoglucosan,17.185077,3
680,2016,4,Galactosan,1279.100684,2
680,2016,4,Mannosan,89.930546,1
680,2016,4,Levoglucosan,6.180719,3
690,2016,4,Galactosan,1977.67112,2
690,2016,4,Mannosan,0,1
690,2016,4,Levoglucosan,378.393948,3
700,2016,4,Galactosan,0,2
700,2016,4,Mannosan,117.16342,1
700,2016,4,Levoglucosan,752.055567,3
710,2016,4,Galactosan,810.601916,2
710,2016,4,Mannosan,0,1
710,2016,4,Levoglucosan,1554.414306,3
720,2016,4,Galactosan,0,2
720,2016,4,Mannosan,0,1
720,2016,4,Levoglucosan,962.950967,3
730,2016,4,Galactosan,0,2
730,2016,4,Mannosan,0,1
730,2016,4,Levoglucosan,469.756908,3
740,2016,4,Galactosan,2142.616368,2
740,2016,4,Mannosan,106.385285,1
740,2016,4,Levoglucosan,360.272903,3
750,2016,4,Galactosan,1764.325741,2
750,2016,4,Mannosan,154.27015,1
750,2016,4,Levoglucosan,560.868823,3
760,2016,4,Galactosan,1941.944339,2
760,2016,4,Mannosan,0,1
760,2016,4,Levoglucosan,995.421023,3
770,2016,4,Galactosan,1850.52928,2
770,2016,4,Mannosan,91.391607,1
770,2016,4,Levoglucosan,429.808685,3
